DP Identifier,MSCIWorldTRI,TOP40,LEBUAGCH,LEBUCGCH,LEBUPFCH,LEBUWPCH
Date,MSCIWorldTRI Index,TOP40 Index,LEBUAGCH,LEBUCGCH,LEBUPFCH,LEBUWPCH
29/10/2020,9990.06,47576.46,2.972326,2.774236,2.800958,3.002717
30/10/2020,9881.08,47472.92,2.966854,2.769303,2.795919,2.998102
02/11/2020,10007.13,48392.97,2.97923,2.77306,2.804048,3.004331
03/11/2020,10210.41,48853.14,3.013204,2.792656,2.831204,3.026587
04/11/2020,10414.49,49300.89,3.034235,2.807918,2.849249,3.050273
05/11/2020,10631.3,50762.83,3.074431,2.837841,2.884582,3.074006
06/11/2020,10647.24,51876.24,3.097881,2.855845,2.905312,3.09585
09/11/2020,10786.33,52684.37,3.125658,2.869787,2.927044,3.092046
10/11/2020,10809.22,52922.51,3.159481,2.895727,2.956887,3.139738
11/11/2020,10900.6,52784.39,3.181666,2.906952,2.973901,3.159746
12/11/2020,10821.33,52335.71,3.163695,2.897079,2.959549,3.149196
13/11/2020,10908.46,52517.57,3.14441,2.883034,2.942709,3.130409
16/11/2020,11047.61,52551.86,3.158457,2.891853,2.954356,3.137461
17/11/2020,11035.49,52288.79,3.158802,2.892175,2.954653,3.146582
18/11/2020,10971.77,52518.35,3.171238,2.900622,2.965147,3.155149
19/11/2020,10985.12,51977.91,3.158356,2.896069,2.956261,3.146707
20/11/2020,10958.18,51915.4,3.139254,2.883072,2.94007,3.126517
23/11/2020,10988.7,52478.55,3.144611,2.885154,2.943897,3.12783
24/11/2020,11163.12,53049.43,3.160364,2.894221,2.956302,3.142734
25/11/2020,11174.1,52940.79,3.169361,2.900601,2.964126,3.152462
26/11/2020,11176.66,53084.13,3.179802,2.906458,2.97234,3.157917
27/11/2020,11226.37,53021.58,3.181642,2.907839,2.973857,3.168812
30/11/2020,11148.6,52375.5,3.16243,2.899356,2.959622,3.163633
01/12/2020,11261.66,52679.28,3.154977,2.891847,2.952302,3.149465
02/12/2020,11283.69,53219.69,3.182917,2.909203,2.974832,3.179722
03/12/2020,11317.04,54146.72,3.198403,2.915257,2.986022,3.185816
04/12/2020,11396.86,54500.04,3.209234,2.922309,2.995199,3.19216
07/12/2020,11380.8,54646.92,3.223056,2.933061,3.007406,3.207438
08/12/2020,11407.79,54262.51,3.212926,2.927366,2.999646,3.1917
09/12/2020,11345.62,54349.61,3.216516,2.927105,3.001455,3.190402
10/12/2020,11350.82,54334.2,3.212204,2.92729,2.999315,3.193108
11/12/2020,11322.17,54458.61,3.216955,2.933577,3.004636,3.197544
14/12/2020,11312.87,54520.69,3.221808,2.934844,3.007914,3.191954
15/12/2020,11417.98,54466.51,3.226845,2.938233,3.012161,3.192845
17/12/2020,11553.63,55484.28,3.233805,2.942229,3.017717,3.192765
18/12/2020,11517.25,54692.4,3.236491,2.944254,3.019911,3.192269
21/12/2020,11425.39,53784.25,3.195149,2.920787,2.986911,3.175378
22/12/2020,11417.77,53648.03,3.190466,2.915329,2.982039,3.15798
23/12/2020,11454.05,53958.73,3.193707,2.91668,2.984349,3.158239
24/12/2020,11487.87,54125.23,3.20903,2.926172,2.996749,3.172762
28/12/2020,11564.6,53956.26,3.201161,2.918628,2.989263,3.154974
29/12/2020,11588.98,54196.13,3.20727,2.918798,2.992301,3.162063
30/12/2020,11607.42,54615.33,3.218269,2.930058,3.003523,3.176367
31/12/2020,11625.2,54379.58,3.222228,2.933929,3.007445,3.181942
04/01/2021,11539.81,55438.07,3.238037,2.94904,3.022798,3.206976
05/01/2021,11601.81,55976.32,3.26667,2.972578,3.04881,3.24624
06/01/2021,11668.2,56877.6,3.292653,2.988187,3.069454,3.266696
07/01/2021,11819.98,58006.23,3.343956,3.023379,3.112776,3.323386
08/01/2021,11903.57,58423.34,3.366651,3.033722,3.129363,3.339672
11/01/2021,11803.02,58717.77,3.386353,3.053369,3.148692,3.379099
12/01/2021,11821.83,58492.92,3.362615,3.035092,3.128006,3.344279
13/01/2021,11845.61,58337.66,3.366804,3.034269,3.129783,3.339314
14/01/2021,11838.92,58735.95,3.357806,3.026779,3.121514,3.330943
15/01/2021,11738.4,58446.35,3.358041,3.027342,3.122002,3.334093
18/01/2021,11733.11,58548.17,3.354809,3.02585,3.119595,3.329735
19/01/2021,11815.58,58358.85,3.349712,3.017765,3.113197,3.308077
20/01/2021,11941.06,58857.76,3.358301,3.024637,3.12082,3.319117
21/01/2021,11959.33,58969.37,3.362413,3.027785,3.124253,3.323434
22/01/2021,11916.61,58886.26,3.358771,3.030772,3.123674,3.331629
25/01/2021,11922.09,59408.05,3.37516,3.04114,3.137023,3.345539
26/01/2021,11910.22,58720.55,3.363546,3.034992,3.127914,3.336435
27/01/2021,11652.11,57644.44,3.353415,3.031378,3.120861,3.331306
28/01/2021,11722.89,58084.46,3.333117,3.014575,3.102534,3.299426
29/01/2021,11512.43,57312.45,3.313835,3.000746,3.085952,3.279453
01/02/2021,11669,57670.4,3.308312,2.998945,3.082417,3.263633
02/02/2021,11816.46,57585.13,3.32319,3.012533,3.096428,3.282191
03/02/2021,11842.34,57828.55,3.345094,3.027236,3.115037,3.300204
04/02/2021,11929.16,58493.74,3.386654,3.055182,3.149922,3.338071
05/02/2021,11998.47,58877.36,3.412735,3.067611,3.169531,3.3562
08/02/2021,12095.73,59647.94,3.417587,3.069394,3.172914,3.361599
09/02/2021,12108.55,59663.77,3.422234,3.070646,3.17602,3.362633
10/02/2021,12117.97,60637.7,3.437389,3.077845,3.187502,3.370255
11/02/2021,12147.9,60420.45,3.422436,3.071882,3.176844,3.356588
12/02/2021,12199.04,60673.94,3.446321,3.086101,3.196282,3.376296
15/02/2021,12246,61674.76,3.451595,3.084116,3.198217,3.373134
16/02/2021,12241.15,61775.45,3.461802,3.089445,3.206128,3.392016
17/02/2021,12189.62,61738.47,3.457651,3.091329,3.204662,3.397761
18/02/2021,12134.6,61206.58,3.434975,3.072466,3.184021,3.370027
19/02/2021,12150.49,62105.24,3.434998,3.068732,3.182286,3.372049
22/02/2021,12071.74,61903.64,3.458539,3.082124,3.200915,3.400321
23/02/2021,12076.88,60493.97,3.423759,3.064121,3.174467,3.362938
24/02/2021,12134.4,60747.41,3.429233,3.071141,3.180762,3.358064
25/02/2021,11954.61,62063.35,3.449598,3.080393,3.19552,3.390292
26/02/2021,11811.31,60754.3,3.424222,3.065962,3.175745,3.372077
01/03/2021,12057.99,62107.04,3.460994,3.089884,3.205831,3.394774
02/03/2021,11991.22,63104.7,3.489874,3.105365,3.227902,3.429002
03/03/2021,11876.95,62861.62,3.489454,3.106103,3.228252,3.419746
04/03/2021,11730.27,62250.03,3.495055,3.105739,3.231081,3.424907
05/03/2021,11826.37,62788.64,3.507384,3.110785,3.239986,3.440676
08/03/2021,11800.83,62910.6,3.520902,3.11547,3.248777,3.466019
09/03/2021,11971.97,63098.33,3.539541,3.125766,3.263842,3.473363
10/03/2021,12031.15,62886.16,3.528337,3.11635,3.253338,3.460136
11/03/2021,12165.47,63187.54,3.533978,3.120291,3.25794,3.455133
12/03/2021,12172.43,62587.78,3.522584,3.115172,3.249606,3.457821
15/03/2021,12236.33,61921.05,3.525389,3.117626,3.252212,3.458593
16/03/2021,12244.66,61623.63,3.516456,3.112479,3.24501,3.450564
17/03/2021,12258.3,60810.17,3.503857,3.102801,3.233821,3.444151
18/03/2021,12154.7,61050.33,3.492498,3.090359,3.221809,3.434367
19/03/2021,12128.91,60313.4,3.467852,3.080167,3.204643,3.411562
23/03/2021,12093.79,59793.26,3.447496,3.063557,3.185927,3.400794
24/03/2021,12004.42,59768.81,3.43612,3.06231,3.179619,3.386441
25/03/2021,12040.32,59278.89,3.439702,3.064204,3.182285,3.394565
26/03/2021,12213.9,61244.27,3.492653,3.091351,3.222552,3.435596
